./text_en/AdviceText.utf.txt,,達成率,5.881%
Xianbei Short,Xianbei,鮮卑,鮮卑
Xianbei Full,The Xianbei,鮮卑,鮮卑
Xianbei Desc,"The Xianbei are a Mongolic people living in the far east of Mongolia and the western part of Manchuria. Like most steppe peoples they are excellent horsemen, and live by herding and hunting. Although militarily formidable, they are rather primitive by Chinese standards. However, their craftsmen are outstanding, and are particularly known for their headdresses of very thinly beaten metal.",鮮卑はモンゴルの極東と満州の西部に住むモンゴル人です。ほとんどの草原の人々と同じように、彼らは優秀な騎手であり、牧畜や狩猟によって生きます。軍事的に手ごわいが、それらは中国の基準ではかなり原始的です。しかし、彼らの職人が優れており、特に非常に薄く殴ら金属の彼らの頭飾りのために知られています。,
Yi Short,Dong Yi,トンイ,
Yi Full,The Dong Yi,トンイ,
Yi Desc,"The Dong Yi are a large group of non Chinese tribes living in the eastern part of China. They are live by herding animals, and considered experts with the bow. They wear their hair loose, have tattoos, and are considerably more primitive than the Chinese states. Historically the Yi tribes were conquered and assimilated by the Chinese.",トンイは、中国の東部に住む非中国の部族の大規模なグループです。彼らは動物を放牧によるライブあり、そして弓を持つ専門家を検討しました。彼らは、自分の髪緩いを着用入れ墨を持っている、とかなり中国の状態よりも原始的です。歴史的に李部族が征服し、中国が資化しました。,
Di Short,White Di,ホワイトディ,
Di Full,The White Di,ホワイトディ,
Di Desc,"The White Di are a non Chinese people living in the north east of China, but south of the Mongolian Steppes. They live by hunting, and herding sheep and goats. Indeed, one Chinese image of them is as a monster with the legs of a man, and the head of a goat. Unusually for herders, they have walled cities, and fight fiercely, mainly on foot. Historically they were conquered and absorbed by the Chinese.",ホワイトディ、中国の北東部に住む非中国の人々ですが、モンゴル草原の南。彼らは狩猟、および牧畜羊とヤギで住んでいます。確かに、そのうちの一つ、中国の画像は、人間の足でモンスター、ヤギの頭のとおりです。珍しく遊牧民のために、彼らは壁の都市を持っており、主に足の上に、激しく戦います。歴史的に彼らが征服し、中国に吸収されました。,
Dingling Short,Dingling,丁零,
Dingling Full,The Dingling,丁零,
Dingling Desc,"The Dingling are a Siberian people living in the north of Mongolia. They live by hunting and fishing, but have also adopted the animal herding ways of the steppe peoples. They are quite primitive, but historically they were tough and adaptable enough to endure over a long period of time. They are often thought to be the ancestors of the Turks.",丁零はモンゴルの北部に住むシベリア人です。彼らは狩猟や釣りで住んでいるが、また草原の人々の動物牧畜方法を採用しています。彼らは非常に原始的ですが、歴史的に、彼らは時間の長い期間にわたって耐えるのに十分なタフで適応しました。彼らはしばしば、トルコ人の祖先であると考えられています。,
Noble Rebels Short,{0} : Rebels,{0}：反乱,
Noble Rebels Full,{0} : Rebels,{0}：反乱,
Noble Rebels Desc,"This faction is a collection of rebels who believe their lord has lost the mandate of heaven, and is no longer fit to rule. They are in revolt against him, and seek his overthrow.",この派閥は彼らの主が天の任務を失ったと考えている反政府勢力の集まりではありません、もはやルールに適合しています。彼らは、彼に対する反乱であり、そして彼の打倒を求めます。,
Red Eyebrow Rebels Short,Red Eyebrows,赤眉,
Red Eyebrow Rebels Full,Red Eyebrow Rebels,レッドアイブロウ反乱軍,
Red Eyebrow Rebels Desc,"Named from their practice of dying their eyebrows red to identify themselves in battle, these desperate men have been forced by circumstances to rebel against their rightful rulers. Other disaffected peasants may be temped to join them, so confronting them with militia or tribal armies is dangerous. ",戦いで自分自身を識別するために赤い彼らの眉毛を死ぬの彼らの実践から名付けられ、これらの絶望的な男性は彼らの正当な支配者に対して反乱に事情によって強制されています。その他の不満農民はそれらを結合するtempedので、民兵や部族の軍隊でそれらに直面することは危険であることができます。,
Yellow Turban Rebels Short,Yellow Turbans,黄色のターバン,
Yellow Turban Rebels Full,Yellow Turban Rebels,イエローターバンの反乱軍,
Yellow Turban Rebels Desc,"The harshness of peasant life has driven these men to rebel against the central government. They identify themselves by their yellow scarves, and engage in communal religious practices that include music, sermons and trances. Women and barbarians are welcomed in their ranks. Armies of militia and tribesmen may rebel and join them.",農民の生活の厳しさは、中央政府に対して反乱に、これらの男性を牽引してきました。彼らは黄色のスカーフで自分自身を特定し、音楽、説教やトランス状態などが共同宗教慣行に従事します。女性と野蛮人は彼らのランクに歓迎されています。民兵や部族の軍隊は彼らを反逆者と参加することができます。,
Red Turban Rebels Short,Red Turbans,レッドターバン,
Red Turban Rebels Full,Red Turban Rebels,赤いターバンの反乱軍,
Red Turban Rebels Desc,Harsh lives and high handed treatment by government officials have driven these people to rebel. They distinguish themselves by wearing read scarves and using red banners. Armies of militia and tribesmen may be tempted to rebel and join them.,政府関係者による厳しい生活と高い利き治療が反乱にこれらの人々を牽引してきました。彼らは読んでスカーフを身に着けていると赤のバナーを使用して自分自身を区別する。民兵や部族の軍隊が反乱を誘惑し、それらを結合することができます。,
White Lotus Rebellion Short,White Lotus,ホワイトロータス,
White Lotus Rebellion Full,White Lotus Rebels,ホワイトロータス反乱軍,
White Lotus Rebellion Desc,"Driven to rebellion by high taxes and harsh lives, the White Lotus Rebels enjoy much support among the common people. Armies of militia and tribesmen may even rebel and join them.",高い税金等の過酷な生活で反乱を駆動し、ホワイトロータスの反乱軍は、一般の人々の間で多くのサポートをお楽しみください。民兵や部族の軍隊ても、反政府勢力とそれらを結合。,
Bandits Short,Bandits,バンディッツ,
Bandits Full,Bandits,バンディッツ,
Bandits Desc,"Criminals, desperadoes and misfits, bandits are an ever present danger to society, In times of hardship their ranks can be swollen by desperate peasants, and their numbers can approach that of small armies.",犯罪者、無法者たちと不適応、山賊は、苦難の時代に彼らのランクは、絶望的な農民によって膨潤することができ、社会に常に存在する危険であり、その数字は小さな軍隊のそれに近づくことができます。,
./text_en/GenghisText.utf.txt,,#VALUE!,
Tumen Horse Archers,Tumen Horse Archers,図們馬の射手,
Tumen Horse Archers Desc,"These lightly armored horse archers are the mainstay of the Tumen. With their powerful bows and expert marksmanship, they can subject an enemy to withering fire, before quickly withdrawing if threatened. Their mobility makes them excellent at scouting and outflanking, and their discipline allows them to rapidly concentrate at vulnerable points.",これらの軽装甲馬の射手は図們の主力です。彼らの強力な弓と専門家の射撃では、彼らが脅かされた場合に撤退する前に素早く、枯れ火災に敵をかけることができます。彼らの移動度はスカウトとoutflankingで彼らは優れたなり、その規律は、それらが急速に脆弱な箇所に集中することができます。,
Tumen Lancers,Tumen Lancers,図們ランサー,
Tumen Lancers Desc,"These heavy cavalry deliver a heavy charge capable of sweeping away most opponents, be they mounted or on foot. As with all Tumen troops they are organized in troops of ten with each man being responsible for the actions of the others. This fosters courage, brotherhood and discipline making them a tool a general can rely on in the final stages of a battle.",これらの重騎兵は、ほとんどの敵を一掃できる重い電荷を届ける彼らがマウントまたは足の上にあります。すべての豆満江軍と同じように、彼らはそれぞれの人が他人の行動に責任であることを10の部隊に編成されています。これは、彼らに一般の戦いの最終段階にあるに頼ることができるツールを作る勇気、兄弟愛と規律を促進します。,
Tumen Heavy Cavalry,Tumen Heavy Cavalry,図們重騎兵,
Tumen Heavy Cavalry Desc,"With solid armor and powerful bows, this unit has the mobility to match enemy light cavalry, and the equipment to outshoot and outfight them. Against other types of opponent, they can delivery a withering barrage of fire that few can endure for long, and are quite capable of engaging in close combat.",固体鎧と強力な弓で、このユニットは、敵軽騎兵と一致するように、モビリティ、およびoutshoot、それらをoutfightする機器を持っています。対戦相手の他のタイプに対して、彼らすることができます配信数は長い間耐えて、近接戦闘に従事し、かなり能力があることを火の枯れ弾幕。,
Keshik,Keshik,Keshik,
Keshik Desc,"These are the Khan's elite guards. They guard him and his family by day and night, and serve as the reserve in battle. They are recruited from the sons of the commanders of thousands and hundreds, and outrank these commanders. While it is a great honor to serve in the Keshik, its members also serve as hostages to ensure the loyalty of unit commanders.",これらは、カーンのエリートガードされています。彼らは、昼と夜で、彼と彼の家族を守る、そして戦いの準備として役立ちます。彼らは何千と数百人の指揮官の息子たちから募集し、これらの指揮官を上回っています。それはKeshikに奉仕する偉大な名誉ですが、そのメンバーはまた、ユニットの指揮官の忠誠を確保するために人質としての役割を果たす。,
Algincin Scouts,Algincin Scouts,Algincinスカウト,
Algincin Scouts Desc,"A commander cannot be confident of victory in a military campaign without sound intelligence on the enemy. This is gathered by the Algincin who ride two days ahead of the main body to scout out the opponent's strength and dispositions. Composed of brave-hearted, sharp-sighted men on the swiftest horses, they report back the information their  general needs to make a sound plan.",司令官は、敵のサウンドインテリジェンスなしに軍事作戦で勝利を確信することはできません。これは、相手の強さと処分を偵察するために2日後に控え、本体の乗っAlgincinによって収集されます。 swiftest馬に勇敢な心を持った、鋭い先見の明の男性で構成され、彼らは音計画を作るために彼らの一般的なニーズ情報を折り返し報告します。,
Driven Civilians,Driven Civilians,ドリブン民間人,
Driven Civilians Desc,"These unarmed civilians are rounded up from the countryside or conquered cities, and driven forward in front of the main force by officers with whips. The mass of bodies protect soldiers behind from the missiles of city defenders, and their corpses can help fill ditches and moats. However, they are mainly a tool of psychological warfare putting more pressure on a city's defenders to surrender and avoid further spilling the blood of their own people.",これらの非武装の民間人は、田舎や征服都市から切り上げ、と鞭で役員が主要な力の前に前方に駆動されます。体の質量は、市の擁護者のミサイルから後ろの兵士を保護し、彼らの死体は、溝や堀を埋めることができます。しかし、彼らは主に降伏し、自国民の血をこぼし、さらに回避するために、都市の擁護者に多くの圧力を置く心理戦のツールです。,
Travelling Party,Travelling Party,旅行パーティー,
Travelling Party Desc,"This is party of travellers, together with their families, servants and livestock.",これは、一緒にその家族、使用人や家畜と、旅行者の当事者となっています。,
Temuchins Family,Temuchin's Family,Temuchinの家族,
Temuchins Family Desc,"This is Temuchin's family. Himself, his mother Hoelun, brothers and sister, half brothers and their mother. Also their servants and any friends who joined them.",これはTemuchinの家族です。彼自身、彼の母ホエルン、兄弟姉妹、半分兄弟と母親。また、その使用人及びそれらに参加したすべての友人。,
Horde,Nomad Horde,ノマド大群,
Horde Desc,"The horde is a travelling town, able to move from place to place bringing all its facilities with it. Small carts suffice for the possessions of the common folk, but the great yurts of the lords are moved on giant wagons pulled by many horses or oxen.
Whenever this unit stops at a site suitable to found a settlement, one is automatically created with all the buildings and people it previously had. When this unit moves, the settlement is removed and replaced at the horde's new position. If the unit cannot create a settlement at the end of  the turn, its population and flocks will decline due to lack of food.","大群は、それをすべての施設を持って来る場所から場所へ移動することができ旅行町です。小さなカートは庶民の持ち物には十分、しかし領主の偉大なパオは、多くの馬や牛に引か巨大なワゴンの上に移動されます。
このユニットが見つかっ決済に適したサイトで停止するたびに、1が自動的にそれが以前に持っていたすべての建物や人々を使用して作成されます。このユニットが移動すると、決済が削除され、大群の新しい位置に置き換えられます。ユニットは、ターン終了時に決済を作成することができない場合は、その人口と群れが原因食糧不足に低下します。",
Iron Pagodas,Iron Pagodas,アイアンパゴダ,
Iron Pagodas Desc,"This elite unit wears the heaviest armor ever fielded in China. They are armored from head to toe, with even their faces protected by a mask or chainmail veil. They are primarily shock cavalry, but are also trained to fight efficiently on foot.",このエリートユニットは、これまで中国で擁立最も重い鎧を身に着けています。これらは、マスクやチェインメイルのベールで保護しても自分の顔と、頭からつま先まで装甲されています。彼らは主に騎兵を衝撃されるが、徒歩で効率的に戦うために訓練されています。,
Meng'an Cavalry,Meng'an Cavalry,Meng'an騎兵,
Meng'an Cavalry Desc,"These units are the backbone of the Jin Dynasty army. Recruited from ethnic Jurchen tribal groups of the same name, each three-thousand households is responsible for raising and equipping one unit of one thousand men. The unit mixes two ranks of heavily armed cavalry lancers, with three ranks of more lightly armed horse archers. Thus mobility, shock and missile power are combined into one multi-purpose unit. ",これらのユニットは、晋軍のバックボーンとなっています。同じ名前の民族Jurchen部族から募集、各3千世帯が上げ、千人の1つのユニットを装備する責任があります。ユニットは、より軽く武装馬の射手の3つのランクで、重武装騎兵ランサーの2つのランクをミックス。したがって、移動度、衝撃及びミサイル電力は、一つの多目的ユニットに結合されます。,
Iron Sparrowhawks,Iron Sparrowhawks,アイアンSparrowhawks,
Iron Sparrowhawks Desc,"The Iron Sparrowhawks are the elite unit of the Xi Xia army. They are a heavy cavalry unit that combines both shock power and mobility. They move swiftly to where they are needed, and launch a powerful charge. If this is not successful, they prefer to retreat rather than become bogged down.",アイアンSparrowhawksは西夏軍の精鋭ユニットです。彼らは、衝撃力と機動性の両方を兼ね備えた重騎兵ユニットです。彼らは、彼らが必要とされる場所に迅速に移動し、強力な電荷を起動します。これが成功しない場合、彼らは撤退ではなく、泥沼になることを好みます。,
Foot Treaders,Foot Sloggers,フットSloggers,
Foot Treaders Desc,"While the armies of Xi Xia are primarily mounted, there are places where foot soldiers are more suitable. This elite unit of lightly armed infantry specializes in operating in difficult terrain where cavalry cannot operate effectively.",西夏の軍隊は主に搭載されている間、足の兵士がより適している場所があります。軽武装の歩兵のこのエリートユニットは騎兵が効果的に動作することができない困難な地形で動作を専門としています。,
Palace Ghulams,Palace Ghulams,宮殿Ghulams,
Palace Ghulams Desc,"These units are the Sultan's elite guard. As with other Ghulam units, they are composed mainly of Turkish slaves, which does not alter their high status. Well armed and armored lancers, they are able to launch devastating charges on both foot and mounted units.",これらのユニットは、スルタンのエリートガードされています。他のグラーム・ユニットと同じように、彼らは主に彼らの高い状態を変更しないトルコの奴隷、で構成されています。まあ武装と装甲ランサーは、彼らが足とマウントユニットの両方に壊滅的な料金を起動することができます。,
Ghulams Archers,Ghulam Archers,グラーム射手,
Ghulams Archers Desc,"These are slave soldiers mainly composed of Turks from the Khurasan region. Despite this, they are highly trained professional soldiers. They fight as heavy cavalry mainly relying on archery, but are also able to fight hand-to-hand with their skull crushing maces. Their armor and close order gives them the edge in archery duels with lighter horse archers.",これらは、主にKhurasan領域からのトルコ人で構成奴隷兵士です。それにもかかわらず、彼らは非常に専門的な兵士を訓練されています。彼らは主にアーチェリーに頼るとして重騎兵と戦うだけでなく、彼らの頭蓋骨破砕メイスを手に手を戦うことができます。彼らの鎧と近い順番は彼らに軽い馬の射手とアーチェリー決闘でエッジを与えます。,
Ghulams Heavy Archers,Ghulams Heavy Archers,Ghulamsヘビー射手,
Ghulams Heavy Archers Desc,"These are slave soldiers mainly composed of Turks from the Khurasan region. Despite this, they are highly trained professional soldiers. They fight as heavy cavalry mainly relying on archery, but are also able to fight hand-to-hand with their skull crushing maces. With their armored horses, they are well protected from enemy return fire.",これらは、主にKhurasan領域からのトルコ人で構成奴隷兵士です。それにもかかわらず、彼らは非常に専門的な兵士を訓練されています。彼らは主にアーチェリーに頼るとして重騎兵と戦うだけでなく、彼らの頭蓋骨破砕メイスを手に手を戦うことができます。彼らの装甲馬で、彼らはよく敵のリターン火から保護されています。,
Atabeg Archers,Atabegs,Atabegs,
Atabeg Archers Desc,"There units consist of Iranian noblemen and their retainers. They fight as armored horse archers, clustering together to fire dense volleys of arrows. They also have the skill and morale to fight at close quarters with their scimitars if need be. They are effective troops, even if sometimes a little touchy.",そこ単位はイランの貴族とその保持器で構成されています。彼らは、矢印の密なボレーを発射するために一緒にクラスタリングし、装甲馬の射手として戦います。彼らはまた、必要であれば自分のシミターと接近戦で戦うためのスキルや士気を持っています。彼らは効果的な軍隊、時には場合は少し厄介です。,
Turkoman Mercenaries,Turkoman Mercenaries,トルクメンマーセナリーズ,
Turkoman Mercenaries Desc,"Many small bands of Turkic tribesmen have infiltrated into the spaces between the great cities of Iran. Fighting as fierce light horse archers, they are happy to sell their services to whomever has the means to pay them.",テュルク部族民の多くは小さなバンドは、イランの偉大な都市間の隙間に浸透してきました。激しい光馬の射手ファイティング、彼らはそれらを支払うための手段を持っている誰にサービスを販売させていただきます。,
Dailami Guard,Dailami Guard,Dailamiガード,
Dailami Guard Desc,"Recruited from the mountainous regions of Iran, the Dailami's fairly light  equipment and flexible formation allow them to operate effectively in difficult terrain. However, they also have enough training and protection to fight as heavy infantry in the battle line.",イランの山岳地帯から募集、Dailamiのかなり光機器と柔軟な形成は、それらが困難な地形で効果的に動作することを可能にします。しかし、彼らはまた、戦いのラインに重歩兵を戦うために十分なトレーニングと保護を持っています。,
IT Army Swordsmen,Trained Swordsmen,訓練を受けた剣士,
IT Army Swordsmen Desc,"These units with their razor sharp swords excel at fighting enemy infantry armed with longer more cumbersome weapons, and retain their effectiveness in difficult terrain. Their weakness is their vulnerability to cavalry charges.",その鋭い剣を持つこれらのユニットは、長く面倒な武器で武装した敵の歩兵の戦いに優れ、かつ困難な地形で、その有効性を保持します。彼らの弱点は、電荷を騎兵する彼らの脆弱性です。,
IT Militia Swordsmen,Peasant Militia Swordsmen,農民民兵剣士,
IT Militia Swordsmen Desc,"Armed with sharp scimitars, these men excel in close-in fighting. Enemy units with spears and halberds may hold them at bay for a while, but eventually the swordsmen will force their way through the enemy spear wall, and engage in some close range butchery. They are also able to operate effectively in difficult terrain, but are vulnerable to cavalry charges in the open.",シャープシミターを武器に、これらの男性は、近接での戦闘に秀でます。槍やhalberdsと敵ユニットは、しばらくの間、ベイでそれらを保持することができるが、最終的に剣士が敵の槍の壁を介して自分の道を強制し、いくつかの近距離肉屋に取り組んでまいります。彼らはまた、困難な地形で効果的に動作することができますが、オープンに電荷を騎兵に弱いです。,
IT Militia Spear Archers,Mixed Spear / Archers,混合スピア/射手,
IT Militia Spear Archers Desc,"These solid heavy spearmen are excellent at repelling cavalry attacks. With the rear ranks having bows instead of spears, they can also inflict casualties at range.",これらの固体重い槍兵は騎兵の攻撃を撃退に優れています。リアのランクではなく槍の弓を持つと、彼らはまた、範囲での死傷者を与えることができます。,
IT Army Spear Archers,Trained Supported Spearmen,訓練を受けたサポートされている槍兵,
IT Army Spear Archers Desc,"These well trained men are comprised mainly of heavy spearmen who will stoutly resist attacks from both cavalry and infantry. However, the rear ranks are equipped with bows to enable them to inflict damage on enemies who do not dare to close with them.",これらのよく訓練された男性は、主にがっちり騎兵と歩兵の両方からの攻撃に抵抗する重い槍兵で構成されています。しかし、リアのランクは彼らと一緒にクローズすることを敢えてしていない敵にダメージを与えるためにそれらを可能にするために、弓が装備されています。,
Tarim Guard Archers,Guard Archers,ガードの射手,
Tarim Guard Archers Desc,"Recruited mainly from the city folk, these well trained and equipped foot archers are prepared to do whatever it takes to defend their homes.",市民俗から主に募集し、これらのよく訓練と装備足の射手は、それが自分の家を守るために取るものは何でもする用意があります。,
BD Town To Horde,Convert To Horde,大群に変換,
BD Town To Horde Desc,"Construct wagons to move all the people and buildings. After completion a horde unit will be added to the garrison, and the settlement will move wherever that unit moves.",すべての人々や建物を移動するためのワゴンを構築します。完了後大群部は駐屯地に追加され、そのユニットが移動するどこ決済が移動することになります。,
BD Assyrian Church I,Nestorian Church,ネストリウス派教会,
BD Assyrian Church I Desc,"This is a place where Christians can meet and pray together. A local priest provides religious instruction and officiates at ceremonies. In the Nestorian Church, the priest and his followers are often skilled in medicine and surgery, caring for those in need.",これは、クリスチャンが会い、一緒に祈ることができる場所です。地元の司祭は、宗教教育を提供し、式典でofficiates。ネストリウス派の教会では、司祭とその部下は、多くの場合、必要とする人々の世話、薬や手術に熟練しています。,
BD Mosque I,Mosque,モスク,
BD Mosque I Desc,"This a place where followers of the Prophet Muhammad, peace be upon him, gather to pray and listen to religious instruction. It contains separate areas for men and women, and a place to wash before prayer. It also serves as a focus for the community providing education, social welfare and dispute resolution.",預言者ムハンマドの信者は、彼に平安あれ、祈り、宗教的な命令を聞くために集まるこの場所。それは別の男性と女性のための領域、および祈りの前に洗濯する場所が含まれています。また、教育、社会福祉や紛争解決を提供するコミュニティの中心として機能します。,
BD Mosque II,Grand Mosque,グランドモスク,
BD Mosque II Desc,"With domes and towers, this is an  impressive building that shows the glory of Islam. Imams call the faithful to prayer five times a day, from its lofty minarets. The mosque also functions as a center of learning, attracting scholars from far and wide to exchange ideas.",ドームや塔では、これはイスラムの栄光を示した印象的な建物です。イマームは、その崇高な尖塔から、祈りに忠実な1日5回を呼び出します。モスクはまた、アイデアを交換するためにはるかに広いから学者を集め、学習の中心として機能します。,
BD Mosque III,Great Mosque,グレートモスク,
BD Mosque III Desc,"This is a fabulous richly decorated building, that shows off the wealth and power of the ruler, who has a special area set aside for himself and his family. The interior space is divided by arches and columns, all richly decorated with expensive materials gathered from all corners of the world.",これは、自分自身と彼の家族のために確保され、特別な面積を有している定規の富と権力を誇示する素晴らしい豪華に装飾された建物です。内部空間は、すべての豊かな世界の隅々から集めた高価な材料で飾られたアーチと列によって分割されています。,
BD Carpet Maker,Carpet Maker,カーペットメーカー,
BD Carpet Maker Desc,"Here workers spin and card fine wool into the thicker warps needed for carpets. Others work at looms, weaving the thicker strands together with thinner ones to produce intricate patterns designed by the resident artists. Other short strands may be wrapped around the warp to produce the pile on the carpet.",ここでは労働者がカーペットのために必要な厚い縦糸にウールを回してカード。その他には、居住者の芸術家によって設計された複雑なパターンを生成するために、より薄いものと一緒に厚いストランドを織り、で織機働きます。他方の短鎖は、カーペットの上にパイルを生成するために経糸の周りに巻かれてもよいです。,
BD Weaver,Weaving Shed,ウィービングシェッド,
BD Weaver Desc,"Simple cloth can be woven at home, but attractive patterned cloth requires more sophisticated draw-looms. Here, teams of skilled weavers produce quantities of cloth for the local notables, and for trade to other communities.",シンプルな布は、自宅で織ることができますが、魅力的なパターン化された布は、より洗練されたドロー織機が必要です。ここでは、熟練した職人のチームが地元の名士のための、および他のコミュニティへの貿易のための布の量を生産します。,
HS Horde Settlement Default Name,Horde {0},大群{0},
UI CC Not allowed in horde settlement,Not allowed in horde settlements.,大群の集落では使用できません。,
TI Zhennan Wood,Zhennan Wood,Zhennanウッド,
TI Falcons,Falcons,ファルコンズ,
TI Bamboo,Bamboo,竹,竹
TI Sable Fur,Sable Fur,セーブル毛皮,
TI Carpets,Fine Carpets,ファインカーペット,
TI Textiles,Textiles,テキスタイル,
TI Glass,Glassware,ガラス製品,
MR Bamboo,Bamboo,竹,竹
MR Bamboo Desc,The tall straight bamboo stems that grow here are  valuable for construction. A settlement that controls (or has adjacent territory) to this resource can trade them for additional income.,背の高いストレート竹は、それがここで育つ茎の建設のために貴重です。このリソースへの制御（または隣接する領土を持っている）決済は、追加の収入のためにそれらを交換することができます。,
MR ZhennanWood,Zhennan Wood,Zhennanウッド,
MR ZhennanWood Desc,The tall straight evergreen trees here produce wood that is much prized for furniture making and palace construction. The finest logs are so valuable that only royalty can afford them.  A settlement that controls (or has adjacent territory) to this resource can trade them for additional income.,ここでは背の高いストレート常緑の木は、多くの家具作りや宮殿の建設のために珍重された木材を生産します。最高級のログは唯一のロイヤルティがそれらを買う余裕ができることをとても貴重なものです。このリソースへの制御（または隣接する領土を持っている）決済は、追加の収入のためにそれらを交換することができます。,
MR Sable,Sable,セーブル,
MR Sable Desc,"The small carnivorous animals who live here, have fur which is greatly prized for its warmth and smoothness, A settlement that controls (or has adjacent territory) to this resource can trade the fur for additional income. ",ここに住む小さな肉食動物は、大幅にその暖かさと滑らかさ、追加的な収入のための毛皮を取引することができ、このリソースを制御します（または隣接する領土を持っている）決済のために珍重された毛皮を持っています。,
MR Falcons,Falcons,ファルコンズ,
MR Falcons Desc,"Hunting with birds is a favorite pastime of the aristocracy, and they will pay handsomely for fine falcons. A settlement that controls (or has adjacent territory) to this resource can trade them for additional income. ",鳥と狩猟することは貴族のお気に入りの気晴らしである、と彼らは罰金ハヤブサのために気前よく支払うことになります。このリソースへの制御（または隣接する領土を持っている）決済は、追加の収入のためにそれらを交換することができます。,
MR Goats,Goats,ヤギ,
MR Goats Desc,"A few wild goats scratch a living on the hillside, but are still a valuable source of nourishment. This will increase by {0} the food production of any settlement that controls it, or has adjacent territory.",いくつかの野生のヤギは、丘の中腹に生活を傷つける、まだ栄養の貴重な情報源です。これは、それを制御する、または隣接領域を有する任意の決済の{0}食糧生産増加します。,
MR Silk Road West,Silk Road West,シルクロード西,
MR Silk Road West Desc,Merchants travelling to and from the East pass through here. A settlement controlling this resource can tax them for {0}.,Horde {0},
MR Silk Road East,Silk Road East,シルクロードEast,
MR Silk Road East Desc,Merchants travelling to and from the West pass through here. A settlement controlling this resource can tax them for {0}.,西へと旅から商人がここを通過します。このリソースを制御決済は{0}のためにそれらを課税することができます。,
MR Silk Road Central,Silk Road Central,シルクロード中央,
MR Silk Road Central Desc,Merchants travelling between the East and  the West pass through here. A settlement controlling this resource can tax them for {0}.,東と西の間を移動する商人がここを通過します。このリソースを制御決済は{0}のためにそれらを課税することができます。,
MR Spice Road,Spice Road,スパイスロード,
MR Spice Road Desc,Merchants travelling from and to India pass through here. A settlement controlling this resource can tax them for {0}.,インドへの旅の商人がここを通過します。このリソースを制御決済は{0}のためにそれらを課税することができます。,
MR Sable Road,Sable Road,セーブルの道,
MR Sable Road Desc,Merchants bringing furs from the North pass through here. A settlement controlling this resource can tax them for {0}.,北からの毛皮を持って来る商人がここを通過します。このリソースを制御決済は{0}のためにそれらを課税することができます。,
MR Falcon Road,Falcon Road,ファルコンロード,
MR Falcon Road Desc,Merchants bringing hunting falcons from the wilderness pass through here. A settlement controlling this resource can tax them for {0}.,荒野から狩猟ハヤブサをもたらす商人がここを通過します。このリソースを制御決済は{0}のためにそれらを課税することができます。,
MR Trade Route2,Trade Route,交易路,
MR Trade Route2 Desc,Merchant caravans pass through here. A settlement controlling this resource can tax them for {0}.,マーチャントキャラバンは、ここを通過します。このリソースを制御決済は{0}のためにそれらを課税することができます。,
MR Sea Trade Route2,Sea Trade Route,海の交易路,
MR Sea Trade Route2 Desc,Merchant ships pass through here. A settlement controlling this resource can tax them for {0} if you have the technology {1}.,商船は、ここを通過します。あなたが技術{1}を持っている場合は、このリソースを制御決済は{0}のためにそれらを課税することができます。,
Unit Set Islamic Turk,Islamic Turk,イスラムトルコ人,
Unit Set Jurchen Jin,Jurchen Jin,Jurchenジン,
Unit Set Xi Xia,Xi Xia,Xiの夏,
Unit Set TarimB,Tarim Basin Buddhist,タリム盆地の仏教,
UI SE Personal Names Islamic,Islamic,イスラム教の,
UI SE Place Names Central Asian,Central Asian,中央アジア,
UI SE Place Names Tarim Basin,Tarim Basin,タリム盆地,
UI SE Place Names Turk,Turk,トルコ人,
UI SE Place Names Special Use,Special Use,特殊用途,
UI SE Personal Names Turk,Turk,トルコ人,
TT Unnamed Horde,Unnamed Horde,名前大群,
TT Moving Horde Stats,Population: {0} -- Flocks: {1},人口：{0}  - 群れ：{1},
TT Horde Buildings under Construction,Buildings Under Construction: {0},工事中の建物：{0},
TT Convert Horde To Town,Convert to a Fixed Town,固定タウンへの変換,
TT Trade Network Monopoly,"If you control all {0} resources with this symbol, then the tax income from them is doubled.",あなたはこの記号がすべて{0}リソースを制御する場合は、それらからの税収入が2倍になります。,
TT Trade Network Supply,The merchants supply the following items:,商人は、以下の項目を提供します：,
TT Trade Network Demand,If the controlling settlement has the building {0} it can trade the  merchants the following items:,制御決済が建物を持っている場合、{0}には、以下の項目商人を取引することができます：,
TT Settlement Surrender Text,There is a {0}% chance that this settlement will peacefully surrender if attacked. The following factors affect this chance:,攻撃ならば、この和解は、平和的に降伏することを{0}％の確率があります。次の要因は、この機会に影響します。,
TT Terror Factors 1,A nearby settlement was recently destroyed by the attacker.,近くの決済が最近、攻撃者によって破壊されました。,
TT Teror Factors 2,Terrifying incendiary weapons have been used against it.,恐怖の焼夷兵器が、それに対して使用されています。,
TT Teror Factors 3,It has been attacked by Driven Civilians,それを駆動民間人に襲われました,
TT Terror Factors 4,The settlement is completely surrounded and out of food.,決済は完全に囲まれており、食品のうちれます。,
TT Terror Factors 5,{0} is inspiring the garrison to hold out.,{0}を保持するために駐屯地を鼓舞されます。,
UI Confirm Convert Settlement Title,Convert to a Fixed Town,固定タウンへの変換,
UI Confirm Convert Settlement Msg,"Disband the horde unit and convert the settlement to a fixed town. This will allow land improvements and more buildings, but you will no longer be able to move it.",大群ユニットを解散し、固定町に決済を変換します。これは、土地改良法とより多くの建物を許可しますが、あなたは、もはやそれを移動することはできません。,
